id,name,brand_name,price,Origin,category,original_price,discount,discount_rate
191918103,Dụng cụ rửa chai và ly LocknLock ETM143DGRY - Màu xám đen,LocknLock,42000,Trung Quốc,Phụ kiện nhà bếp,79000,37000,47
72615961,"Dây đèn led đom đóm trang trí decor phòng, du lịch cắm trại, fairy light cao cấp (tùy chọn loại nguồn cấp, chiều dài dây và màu sắc)",DEHA,14000,Trung Quốc,,23000,9000,39
272047595,Set 10 móc treo quần áo chống trượt xoay 360 đa năng ,PEAFLO,85000,HK/TQ,Phụ kiện giặt ủi,110000,25000,23
7903644,"Ổ Cắm Công Suất Lớn Điện Quang ĐQ ESKHP 3RW 2m ( 3 Lỗ, Màu Đỏ Trắng, Dây 2m)",Điện Quang,130000,Việt Nam,"Ổ cắm, ổn áp, biến áp",164198,34198,21
130767592,Ổ cắm Điện Quang ĐQ ESK SM740SL (4 lỗ 3 chấu),Điện Quang,151000,Việt Nam,"Ổ cắm, ổn áp, biến áp",198091,47091,24
576742,Bàn Laptop Gỗ Đức Thành - 22311 - Hàng Chính Hãng,Gỗ Đức Thành,429000,Việt Nam,"Nội thất phòng học, làm việc",525000,96000,18
1399571,Gối Memory Foam 50D Hình Cong Lock&Lock HLW111 (50 x 30 cm) - Trắng,LocknLock,254000,Trung Quốc,"Gối, ruột gối, vỏ gối",483000,229000,47
176741318,"Thùng Đựng Đồ Dùng , Đựng Thực Phẩm Đa Năng Trong Gia Đình Hokkaido Hàng Xuất Nhật Có Nắp Đậy Chốt Gài Thông Minh - Chính Hãng ( Tặng kèm khăn lau đa năng)",Inochi,129000,Việt Nam,Dụng cụ chứa đựng thực phẩm,198000,69000,35
177610565,Đèn Pin Siêu Sáng US ARMY Mã XML-T6 Cao Cấp Vỏ Hợp Kim Chống Nước Sử Dụng Pin Có Thể Sạc Lại Tặng Hộp Full Box- HÀNG CHÍNH HÃNG,US ARMY,99000,Nhật Bản / Trung Quốc,,198000,99000,50
110001215,"Nẹp Dây Điện Dán Tường Siêu Dính ,Kẹp Dây Điện Cố Định Và Giữ Dây Điện Siêu Sốc an toàn tiện lợi dễ lắp đặt",OEM,35000,Việt Nam,,35000,0,0
36935892,Combo 10 khăn lau bếp đa năng - KL29 (Giao ngẫu nhiên mẫu),OEM,10000,,Phụ kiện nhà bếp,11344,1344,12
101990592,"Thùng Đựng Gạo, Ngũ Cốc Thông Minh Kèm Cốc Vo Gạo",PEAFLO,219000,Việt Nam / Trung Quốc,,255000,36000,14
169978766,"Túi Hút Chân Không Đựng Quần Áo, Chăn Ga Gối, Thú Bông Deli - Loại Dày Cao Cấp, Nhiều Hoạ Tiết, Bảo Vệ Quần Áo, Chăn Ga Khỏi Ẩm, Nấm Mốc, Chống Nước Tuyệt Đối",Deli,14900,Trung Quốc,Phụ kiện phòng ngủ,26820,11920,44
162548473,Hộp Đựng Giày Nhựa Cứng Cao Cấp Size Lớn Cửa Nam Châm Lắp Ráp Tiện Lợi Song Anh- Hàng Chính Hãng,Song Anh,85000,Việt Nam,Nội thất phòng khách,85000,0,0
203003586,Vòi rửa chén đầu tăng áp thân uốn cong inox 304 Hobby Home Decor LXL,Hobby Home Decor,248900,Trung Quốc,Phụ kiện nhà bếp,262000,13100,5
275361313,Ổ Khóa 4 Số Có Đổi Mã Chữ U - Hàng nhập khẩu,ratoff-ars,155000,China,Bảo vệ nhà cửa,155000,0,0
203757099,Ổ Cắm Điện Du Lịch Quốc Tế Đa Năng Tích Hợp 3 Cổng USB-A 1 Cổng USB C. Chất Liệu Nhựa PC Chống Cháy Phù Hợp Với Hơn 150 Nước. Hàng Chính Hãng Tamayoko,Tamayoko,297000,Trung Quốc,"Ổ cắm, ổn áp, biến áp",299000,2000,1
68413077,"Đèn đọc sách mini, pin sạc tiện dụng Baseus Comfort Reading Mini Clip Lamp ( Dịu mắt, chân kẹp, 3 mức sáng, 350mAh, 24h sử dụng)hàng nhập khẩu",Baseus,215000,HK/TQ,,219000,4000,2
657076,Màng Bọc Thực Phẩm PE Ringo 150 (30cm x 150m),RINGO,103000,Việt Nam,Phụ kiện nhà bếp,103000,0,0
275569536,"Bao Ngón Tay Cao Su Tăng Độ Bám, Kháng Khuẩn, Dùng Được Cảm Ứng",NAVIVU,25000,Trung Quốc,Phụ kiện nhà bếp,25000,0,0
201363811,Khăn Tắm Bông San Hô (70x140cm) Mềm Mại Êm Ái Thấm Hút Tốt Và Nhanh Khô - Hàng Chính Hãng (Giao Màu Ngẫu Nhiên),lilahome,99000,Trung Quốc,Khăn,169000,70000,41
138144975,Màng nhôm (giấy bạc) Laspalm chính hãng bảo quản thực phẩm MNTP00003179,Las Palms Mission,24700,Việt Nam,Phụ kiện nhà bếp,48400,23700,49
